CMYK-Advanced Target Solvent
LGOROWLENGTH	"21"
ORIGINATOR	"ColorGATE"
DESCRIPTOR	"CMYK-Advanced Target Solvent"
KEYWORD	"INFO"
INFO	"Linearization target for solvent printers with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"Barbieri Spectro LFP"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
NUMBER_OF_FIELDS	"42"
NUMBER_OF_SETS	"84"
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730
END_DATA_FORMAT
BEGIN_DATA
44	Magenta_5	0	5.1	0	0	0.4553	0.5084	0.6099	0.7297	0.8255	0.8631	0.8688	0.8614	0.8531	0.8384	0.8178	0.8015	0.7873	0.7637	0.741	0.741	0.7479	0.7312	0.7178	0.746	0.7882	0.8172	0.8304	0.8367	0.8424	0.8473	0.8543	0.8625	0.8712	0.8785	0.8851	0.8902	0.8963	0.9008	0.9025	0.9054
47	Magenta_10	0	10.98	0	0	0.4423	0.4972	0.5997	0.7154	0.8064	0.8384	0.8364	0.8204	0.8029	0.7762	0.7419	0.7185	0.7005	0.6652	0.6297	0.6328	0.6473	0.6213	0.6029	0.652	0.7311	0.789	0.8165	0.8283	0.8358	0.8419	0.8496	0.8585	0.8677	0.8755	0.8825	0.8878	0.894	0.8989	0.9006	0.904
49	Magenta_15	0	14.9	0	0	0.4409	0.4935	0.5919	0.7049	0.7928	0.8211	0.8149	0.7934	0.77	0.7371	0.6956	0.6678	0.6483	0.6074	0.5662	0.5712	0.5896	0.5591	0.5383	0.5979	0.6967	0.7711	0.8083	0.8244	0.8329	0.8394	0.8472	0.856	0.8647	0.8728	0.8799	0.8854	0.8916	0.8959	0.8974	0.9008
51	Magenta_20	0	20	0	0	0.4314	0.4855	0.5817	0.6907	0.7748	0.7981	0.7867	0.7597	0.7303	0.6898	0.6405	0.6096	0.5884	0.5423	0.4956	0.5024	0.5245	0.49	0.4667	0.5364	0.6553	0.7483	0.7962	0.8169	0.827	0.8335	0.841	0.8494	0.858	0.8651	0.8715	0.8763	0.8821	0.886	0.8882	0.8916
52	Magenta_25	0	25.1	0	0	0.4228	0.4752	0.5719	0.6786	0.7579	0.778	0.7616	0.7298	0.6957	0.6492	0.5945	0.5601	0.5375	0.4872	0.436	0.4439	0.4686	0.4309	0.4058	0.4827	0.6173	0.7249	0.7818	0.8068	0.818	0.8254	0.833	0.8414	0.8504	0.8576	0.8645	0.8694	0.8748	0.8792	0.881	0.8846
53	Magenta_30	0	30.2	0	0	0.4164	0.4692	0.5625	0.6654	0.7416	0.7586	0.7392	0.7033	0.6655	0.6147	0.555	0.5182	0.4944	0.4413	0.3874	0.3965	0.4232	0.3834	0.3571	0.4395	0.5877	0.7079	0.772	0.8003	0.8128	0.8203	0.8281	0.8366	0.8455	0.8529	0.8599	0.8647	0.8702	0.8743	0.8764	0.8797
54	Magenta_35	0	34.9	0	0	0.4118	0.464	0.5557	0.6527	0.7237	0.737	0.7129	0.6728	0.6309	0.5752	0.5105	0.4712	0.4465	0.3907	0.3343	0.3444	0.3732	0.3315	0.3042	0.3928	0.5573	0.6936	0.7669	0.7993	0.813	0.8207	0.8283	0.8363	0.8448	0.852	0.8585	0.863	0.8681	0.8718	0.8733	0.8764
55	Magenta_40	0	40	0	0	0.3991	0.4515	0.5397	0.6335	0.6989	0.7078	0.6802	0.6357	0.59	0.53	0.4608	0.42	0.3949	0.3374	0.2799	0.2906	0.321	0.2786	0.2512	0.3442	0.5249	0.6792	0.763	0.8	0.8152	0.8234	0.8311	0.8391	0.8476	0.8544	0.8609	0.8652	0.8699	0.8735	0.8748	0.8772
56	Magenta_45	0	45.1	0	0	0.3839	0.4356	0.5198	0.6077	0.6675	0.6713	0.6388	0.5893	0.5392	0.4751	0.4028	0.3612	0.3364	0.2792	0.2226	0.2334	0.264	0.2229	0.1965	0.2904	0.4853	0.6615	0.7599	0.8037	0.8217	0.8312	0.8398	0.8486	0.8577	0.865	0.8717	0.8763	0.8812	0.8847	0.8858	0.8882
57	Magenta_50	0	50.2	0	0	0.3694	0.4216	0.5001	0.5791	0.6294	0.6257	0.586	0.5302	0.4758	0.4087	0.3349	0.2937	0.2702	0.2162	0.1638	0.1734	0.2017	0.1646	0.1409	0.2291	0.4296	0.6286	0.7465	0.8006	0.8232	0.8355	0.846	0.8566	0.8671	0.8759	0.8839	0.8897	0.896	0.9007	0.9027	0.906
58	Magenta_55	0	54.9	0	0	0.3576	0.4095	0.4823	0.5522	0.5923	0.5805	0.5332	0.4709	0.412	0.3428	0.2695	0.2296	0.2077	0.159	0.1135	0.1214	0.1453	0.1138	0.09478	0.1725	0.3655	0.5775	0.7143	0.7788	0.8052	0.819	0.8303	0.8415	0.853	0.8627	0.8719	0.8789	0.8866	0.8927	0.8967	0.9018
59	Magenta_60	0	60	0	0	0.3398	0.3932	0.4613	0.5234	0.5551	0.5362	0.4834	0.4174	0.3569	0.288	0.2179	0.1809	0.1612	0.1185	0.08021	0.08724	0.107	0.08092	0.06634	0.1359	0.3242	0.5481	0.7018	0.7759	0.8047	0.8183	0.8285	0.8382	0.848	0.8562	0.8639	0.8697	0.8764	0.8816	0.8845	0.8887
60	Magenta_65	0	65.1	0	0	0.3176	0.3699	0.4339	0.4882	0.5123	0.4877	0.4306	0.3619	0.3007	0.2341	0.1692	0.1361	0.1188	0.08361	0.05379	0.0594	0.07473	0.05497	0.04497	0.1034	0.2804	0.5133	0.6853	0.7727	0.808	0.8244	0.836	0.8463	0.8562	0.8641	0.8714	0.8768	0.8826	0.887	0.8889	0.8919
61	Magenta_70	0	70.2	0	0	0.2704	0.321	0.3805	0.4287	0.446	0.4168	0.3586	0.2916	0.2336	0.1736	0.1174	0.09036	0.077	0.0516	0.03156	0.03517	0.04513	0.03251	0.02679	0.06836	0.218	0.4463	0.634	0.7354	0.7775	0.7975	0.8113	0.8234	0.8349	0.8444	0.8534	0.8604	0.8678	0.8735	0.8768	0.8805
62	Magenta_75	0	74.9	0	0	0.2375	0.2881	0.3435	0.3861	0.3974	0.3644	0.3048	0.2393	0.1846	0.1304	0.08265	0.06103	0.05091	0.03303	0.02007	0.0224	0.0285	0.0207	0.01782	0.04742	0.1756	0.4002	0.6037	0.7205	0.7696	0.7924	0.8077	0.8207	0.8328	0.8428	0.8523	0.8598	0.8677	0.8738	0.8773	0.8809
63	Magenta_80	0	80	0	0	0.2004	0.2489	0.3008	0.338	0.3435	0.308	0.2498	0.1883	0.1389	0.09299	0.05511	0.03911	0.03214	0.02105	0.01386	0.01519	0.01849	0.01432	0.01353	0.03289	0.1353	0.3462	0.5621	0.6972	0.7562	0.7832	0.8006	0.8151	0.8282	0.8394	0.8498	0.8581	0.867	0.8737	0.8778	0.882
65	Magenta_85	0	85.1	0	0	0.1609	0.2072	0.2568	0.2889	0.2903	0.2538	0.1976	0.141	0.09812	0.06134	0.03358	0.02301	0.01891	0.01302	0.009763	0.0104	0.01179	0.01009	0.01056	0.02242	0.1019	0.3001	0.5273	0.6763	0.743	0.7742	0.7941	0.8102	0.8246	0.8367	0.8483	0.8577	0.8673	0.8748	0.8791	0.8837
70	Magenta_90	0	90.2	0	0	0.1272	0.1713	0.215	0.2435	0.2414	0.2046	0.1525	0.1026	0.06659	0.03918	0.02025	0.01393	0.01163	0.009134	0.00814	0.008424	0.008799	0.008369	0.009378	0.01623	0.07533	0.2555	0.4907	0.6565	0.7332	0.7691	0.7916	0.8093	0.8243	0.8371	0.849	0.8595	0.87	0.878	0.8818	0.8864
75	Magenta_95	0	94.9	0	0	0.105	0.1444	0.184	0.21	0.2064	0.1711	0.1228	0.07819	0.04848	0.02726	0.01418	0.01025	0.008982	0.007817	0.007413	0.007579	0.007618	0.00762	0.00877	0.01335	0.05875	0.2214	0.457	0.6324	0.7163	0.7558	0.7805	0.7995	0.8158	0.8298	0.8425	0.8537	0.8652	0.8739	0.8783	0.8833
80	Magenta_100	0	100	0	0	0.08673	0.1224	0.1604	0.1837	0.179	0.1456	0.1008	0.06157	0.0366	0.02015	0.01093	0.008395	0.007481	0.006906	0.006981	0.007294	0.007143	0.007248	0.008299	0.01172	0.04748	0.1947	0.4287	0.6131	0.704	0.7476	0.7743	0.7947	0.8117	0.8264	0.8396	0.8516	0.8634	0.8725	0.8776	0.8828
