CGATS.17
ORIGINATOR	"ColorGATE"
FILE_DESCRIPTOR	"CMYKOG Advanced Linearization Target"
CREATED	"2022-10-24T09:33:27+02:00"
LGOROWLENGTH	20
KEYWORD	"INFO"
INFO	"Linearization target with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"X-Rite i1Pro2"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
KEYWORD	"MEASURE_CONDITION"
MEASURE_CONDITION	"M0"
NUMBER_OF_FIELDS	45
NUMBER_OF_SETS	240
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	PC6_1	PC6_2	PC6_3	PC6_4	PC6_5	PC6_6	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730	IGNORESAMPLE
END_DATA_FORMAT
BEGIN_DATA
31	Cyan_91	90.98	0	0	0	0	0	0.01683	0.04282	0.09631	0.1664	0.2346	0.3067	0.4074	0.486	0.5289	0.5491	0.537	0.5013	0.4458	0.3697	0.2781	0.1861	0.109	0.05212	0.01974	0.007928	0.004796	0.004014	0.003849	0.003897	0.003889	0.003722	0.003536	0.003456	0.003667	0.003581	0.003565	0.003502	0.003693	0.004587	0.005559	0.007648	0
32	Cyan_92	92.16	0	0	0	0	0	0.01472	0.04206	0.09533	0.1649	0.2326	0.3045	0.4061	0.4858	0.5291	0.5491	0.5371	0.501	0.4451	0.3685	0.2764	0.1842	0.1071	0.05077	0.01904	0.007614	0.004711	0.004004	0.00379	0.003818	0.003842	0.003668	0.003527	0.003464	0.003671	0.003591	0.003489	0.003582	0.003688	0.004482	0.005535	0.007679	0
33	Cyan_93	92.94	0	0	0	0	0	0.0174	0.04153	0.09492	0.1649	0.232	0.3038	0.4055	0.4853	0.5285	0.5489	0.5367	0.5007	0.4445	0.3677	0.2754	0.1832	0.1062	0.05011	0.0187	0.007471	0.00469	0.004075	0.003878	0.003878	0.003804	0.003732	0.003543	0.003474	0.003582	0.003646	0.003598	0.003665	0.003768	0.004521	0.005574	0.00768	0
34	Cyan_94	94.12	0	0	0	0	0	0.01597	0.04107	0.09392	0.1629	0.2288	0.3016	0.4041	0.4843	0.5274	0.5478	0.5352	0.4986	0.4421	0.3648	0.2723	0.1802	0.1038	0.04847	0.01793	0.007205	0.004557	0.003949	0.003851	0.003824	0.003742	0.00356	0.003462	0.003407	0.003473	0.003458	0.003438	0.00352	0.003702	0.004536	0.005604	0.007491	0
35	Cyan_95	94.9	0	0	0	0	0	0.01595	0.04012	0.09287	0.1622	0.2286	0.3001	0.4022	0.4823	0.5257	0.546	0.5335	0.4971	0.4405	0.3634	0.271	0.1793	0.103	0.04787	0.01758	0.007043	0.004577	0.003918	0.003834	0.003862	0.003837	0.003731	0.00349	0.003375	0.00348	0.003463	0.00344	0.003724	0.003769	0.00456	0.005682	0.00732	0
36	Cyan_96	96.08	0	0	0	0	0	0.01776	0.04042	0.09063	0.1582	0.2242	0.2957	0.3973	0.4778	0.5217	0.5423	0.5297	0.4935	0.4367	0.3592	0.2671	0.1755	0.1	0.04602	0.01671	0.006713	0.004416	0.003943	0.003921	0.003824	0.003793	0.003706	0.003412	0.003354	0.003437	0.003321	0.003367	0.003658	0.0037	0.004555	0.005596	0.007235	0
37	Cyan_97	96.86	0	0	0	0	0	0.01495	0.0388	0.09013	0.1579	0.2241	0.2953	0.3966	0.4768	0.5205	0.5413	0.5292	0.4928	0.4364	0.3593	0.2673	0.176	0.1005	0.04623	0.0168	0.006818	0.004388	0.003807	0.003776	0.003855	0.003779	0.003664	0.003472	0.003352	0.003397	0.003426	0.003357	0.003497	0.003672	0.004479	0.005531	0.007372	0
38	Cyan_98	98.04	0	0	0	0	0	0.01402	0.03795	0.08793	0.1545	0.2201	0.2919	0.394	0.4748	0.5191	0.5398	0.5269	0.4898	0.4327	0.3552	0.2629	0.1716	0.09682	0.04386	0.01563	0.006304	0.004239	0.003783	0.003683	0.003727	0.003747	0.003539	0.00333	0.003345	0.003325	0.003175	0.003239	0.003305	0.003326	0.004329	0.005654	0.007129	0
39	Cyan_99	98.82	0	0	0	0	0	0.01354	0.03566	0.08714	0.1538	0.2196	0.2915	0.3939	0.4747	0.5186	0.5394	0.5266	0.4896	0.4324	0.3548	0.2625	0.1715	0.09683	0.04392	0.01564	0.006279	0.004221	0.003744	0.003678	0.003689	0.003644	0.003528	0.003329	0.003225	0.003256	0.003197	0.003215	0.003252	0.003388	0.004232	0.005288	0.006947	0
40	Cyan_100	100	0	0	0	0	0	0.013	0.03537	0.08421	0.1503	0.2159	0.2875	0.3898	0.4709	0.5153	0.5361	0.5233	0.486	0.4285	0.3506	0.2584	0.1677	0.09372	0.04187	0.01467	0.005957	0.004037	0.003625	0.003639	0.003671	0.003662	0.003453	0.00331	0.003134	0.00308	0.00291	0.002952	0.003034	0.003296	0.004187	0.005262	0.00677	0
