CGATS.17
ORIGINATOR	"ColorGATE"
FILE_DESCRIPTOR	"CMYKOG Advanced Linearization Target"
CREATED	"2022-10-24T09:33:27+02:00"
LGOROWLENGTH	20
KEYWORD	"INFO"
INFO	"Linearization target with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"X-Rite i1Pro2"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
KEYWORD	"MEASURE_CONDITION"
MEASURE_CONDITION	"M0"
NUMBER_OF_FIELDS	45
NUMBER_OF_SETS	240
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	PC6_1	PC6_2	PC6_3	PC6_4	PC6_5	PC6_6	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730	IGNORESAMPLE
END_DATA_FORMAT
BEGIN_DATA
116	Yellow_96	0	0	96.08	0	0	0	0.03308	0.01901	0.0101	0.005973	0.004022	0.003693	0.003389	0.003152	0.004608	0.0206	0.1241	0.3011	0.4379	0.5248	0.5869	0.6353	0.6723	0.6999	0.7181	0.7343	0.7485	0.7653	0.7771	0.7847	0.7935	0.807	0.8215	0.8317	0.8364	0.8384	0.8436	0.8495	0.8562	0.8604	0.8612	0.8629	0
117	Yellow_97	0	0	96.86	0	0	0	0.03032	0.01767	0.008486	0.00475	0.002965	0.003094	0.003052	0.003182	0.004224	0.01977	0.1219	0.2981	0.4353	0.5229	0.586	0.6349	0.6724	0.7005	0.7189	0.7354	0.7499	0.767	0.7791	0.7866	0.7953	0.8087	0.8234	0.8336	0.838	0.8403	0.8453	0.8513	0.8582	0.8625	0.863	0.8649	0
118	Yellow_98	0	0	98.04	0	0	0	0.0301	0.01653	0.007995	0.005163	0.003736	0.002955	0.00296	0.003047	0.004164	0.01979	0.1215	0.2973	0.4341	0.5214	0.5842	0.633	0.6703	0.6983	0.7166	0.7329	0.7474	0.7644	0.7766	0.7842	0.793	0.8064	0.8212	0.8314	0.8363	0.8383	0.8434	0.8493	0.856	0.8603	0.8607	0.8629	0
119	Yellow_99	0	0	98.82	0	0	0	0.03125	0.01683	0.007765	0.004438	0.003243	0.003024	0.003129	0.003179	0.004267	0.01915	0.1185	0.2932	0.4304	0.5183	0.5812	0.6304	0.6683	0.6966	0.7151	0.7315	0.7463	0.7635	0.7758	0.7836	0.7926	0.8062	0.8215	0.832	0.8368	0.8393	0.8447	0.8511	0.8577	0.8622	0.8628	0.865	0
120	Yellow_100	0	0	100	0	0	0	0.02978	0.01671	0.008382	0.005032	0.003471	0.003388	0.003212	0.003275	0.004454	0.01879	0.1175	0.2915	0.4284	0.5163	0.5796	0.629	0.6669	0.6952	0.7138	0.7303	0.7452	0.7626	0.7749	0.7826	0.7914	0.8051	0.8203	0.8307	0.8354	0.8376	0.8426	0.849	0.8558	0.8603	0.8608	0.8624	0
121	Black_0	0	0	0	0	0	0	0.4574	0.5097	0.5749	0.7069	0.8362	0.8736	0.8832	0.8791	0.8723	0.869	0.8661	0.8646	0.8638	0.8636	0.8645	0.8635	0.8642	0.8648	0.8643	0.8683	0.8695	0.8723	0.8751	0.8792	0.8836	0.8878	0.8939	0.8992	0.903	0.9059	0.9077	0.9091	0.9124	0.9145	0.9162	0.9187	0
122	Black_1	0	0	0	1.18	0	0	0.4114	0.4576	0.5143	0.6293	0.7405	0.7732	0.7805	0.7775	0.7719	0.7689	0.7667	0.7654	0.7648	0.7649	0.7657	0.765	0.7657	0.7665	0.7659	0.7696	0.7707	0.7732	0.7756	0.7791	0.7832	0.7872	0.7925	0.7974	0.8009	0.8034	0.8052	0.8067	0.8101	0.8127	0.8153	0.8182	0
123	Black_3	0	0	0	3.14	0	0	0.3432	0.3818	0.4279	0.513	0.5941	0.6166	0.6224	0.6212	0.6179	0.6165	0.6158	0.6157	0.616	0.6169	0.6187	0.6189	0.6203	0.6217	0.6219	0.6253	0.6266	0.629	0.6312	0.6343	0.6376	0.6408	0.6454	0.6496	0.6525	0.6544	0.6557	0.6573	0.6609	0.6645	0.6678	0.671	0
124	Black_5	0	0	0	5.1	0	0	0.2814	0.3116	0.3457	0.4117	0.4742	0.492	0.4971	0.4968	0.4947	0.4941	0.4942	0.4944	0.4951	0.4966	0.4983	0.4989	0.5005	0.502	0.5026	0.5057	0.5072	0.5096	0.5119	0.5144	0.5174	0.5204	0.5248	0.5286	0.5316	0.5332	0.5343	0.5364	0.5404	0.5443	0.5482	0.552	0
125	Black_7	0	0	0	7.06	0	0	0.231	0.2545	0.2832	0.3318	0.377	0.3901	0.3948	0.3951	0.3948	0.3953	0.3959	0.397	0.3984	0.4003	0.4026	0.404	0.4059	0.4078	0.4088	0.4119	0.4136	0.416	0.4182	0.4208	0.4235	0.4265	0.4304	0.4341	0.4367	0.4382	0.4394	0.4416	0.4458	0.4504	0.455	0.4589	0
126	Black_9	0	0	0	9.02	0	0	0.1871	0.2048	0.2252	0.2635	0.2992	0.31	0.3137	0.3147	0.3155	0.3162	0.3174	0.3188	0.3207	0.3231	0.3255	0.3271	0.3292	0.3312	0.3326	0.3356	0.3375	0.3399	0.3421	0.3448	0.3476	0.3506	0.3544	0.3578	0.3604	0.362	0.3633	0.3655	0.37	0.3753	0.3798	0.3839	0
127	Black_11	0	0	0	10.98	0	0	0.1488	0.1653	0.1813	0.2108	0.2381	0.2469	0.2507	0.2516	0.2527	0.2542	0.2558	0.2574	0.2593	0.2616	0.2641	0.2659	0.2682	0.2703	0.2718	0.2746	0.2766	0.279	0.2811	0.2836	0.2861	0.2891	0.2928	0.2961	0.2987	0.3004	0.3018	0.3043	0.3087	0.3137	0.3186	0.323	0
128	Black_13	0	0	0	12.94	0	0	0.1244	0.1363	0.148	0.1709	0.193	0.2004	0.2036	0.2049	0.206	0.2079	0.2096	0.2115	0.2134	0.2156	0.2183	0.22	0.2223	0.2246	0.2263	0.2288	0.2307	0.2331	0.2352	0.2376	0.24	0.2429	0.2463	0.2493	0.252	0.2534	0.2547	0.2573	0.2617	0.2665	0.2719	0.276	0
129	Black_15	0	0	0	14.9	0	0	0.1039	0.1109	0.1211	0.1392	0.1562	0.1627	0.166	0.1673	0.169	0.1708	0.1728	0.1747	0.1769	0.1793	0.182	0.1841	0.1866	0.1887	0.1905	0.1929	0.1949	0.1973	0.1995	0.2018	0.2043	0.207	0.2103	0.2132	0.2157	0.2171	0.2186	0.2212	0.2252	0.2301	0.2354	0.2398	0
130	Black_17	0	0	0	16.86	0	0	0.08521	0.09067	0.09915	0.1149	0.1287	0.1339	0.1371	0.1389	0.1403	0.1427	0.1448	0.1467	0.149	0.1514	0.154	0.156	0.1584	0.1606	0.1624	0.1648	0.1668	0.1692	0.1713	0.1735	0.176	0.1787	0.1818	0.1848	0.1871	0.1886	0.1901	0.1926	0.1968	0.2018	0.2068	0.2109	0
131	Black_20	0	0	0	20	0	0	0.06345	0.06701	0.0734	0.08461	0.09526	0.09922	0.1016	0.1036	0.1053	0.1073	0.109	0.1109	0.113	0.1153	0.1177	0.1197	0.122	0.124	0.1258	0.128	0.1299	0.132	0.134	0.136	0.1382	0.1406	0.1434	0.1461	0.1483	0.1497	0.1511	0.1535	0.1573	0.1619	0.1665	0.1707	0
132	Black_25	0	0	0	25.1	0	0	0.04021	0.04311	0.04653	0.0528	0.05898	0.06228	0.06494	0.06629	0.0677	0.0696	0.07142	0.07308	0.07496	0.07695	0.07886	0.08066	0.08271	0.08445	0.086	0.08791	0.08963	0.09138	0.09302	0.09498	0.09685	0.09897	0.1015	0.1037	0.1055	0.1069	0.1082	0.1103	0.1136	0.1178	0.1223	0.1263	0
133	Black_30	0	0	0	30.2	0	0	0.03036	0.03006	0.03256	0.03622	0.04032	0.04224	0.04372	0.04482	0.04632	0.04757	0.0489	0.05009	0.05165	0.05326	0.05488	0.05633	0.05788	0.05934	0.06071	0.06215	0.06361	0.06507	0.0665	0.06805	0.06969	0.07138	0.07346	0.07527	0.07699	0.07817	0.07926	0.08112	0.08411	0.08775	0.09176	0.09499	0
134	Black_35	0	0	0	34.9	0	0	0.02176	0.02185	0.02387	0.02588	0.0288	0.02966	0.03094	0.03214	0.03345	0.03432	0.03523	0.03628	0.03761	0.03889	0.0402	0.04143	0.04274	0.04399	0.04514	0.04641	0.04761	0.0488	0.05002	0.05124	0.05254	0.054	0.05575	0.05744	0.05886	0.05972	0.0607	0.06229	0.06489	0.06809	0.07132	0.07418	0
135	Black_40	0	0	0	40	0	0	0.01782	0.01742	0.01798	0.01816	0.02072	0.02126	0.02171	0.02218	0.02314	0.02409	0.02481	0.02555	0.02655	0.02769	0.02865	0.02941	0.0305	0.03143	0.03235	0.03337	0.03429	0.03534	0.03627	0.03718	0.03821	0.03949	0.04081	0.04209	0.04321	0.04396	0.04474	0.04609	0.0481	0.05082	0.05376	0.05629	0
136	Black_45	0	0	0	45.1	0	0	0.0148	0.01344	0.01367	0.01387	0.01486	0.0152	0.01554	0.01597	0.01658	0.01707	0.01758	0.01804	0.01886	0.01962	0.02026	0.02103	0.02185	0.02252	0.02325	0.02397	0.02467	0.02543	0.02622	0.02698	0.02786	0.02885	0.02988	0.03101	0.03182	0.03263	0.03307	0.03434	0.03615	0.03814	0.04053	0.04255	0
137	Black_50	0	0	0	50.2	0	0	0.01326	0.01114	0.009354	0.01023	0.01036	0.01094	0.01128	0.01181	0.01201	0.01237	0.01268	0.01304	0.01359	0.01423	0.0148	0.01537	0.01604	0.01657	0.01704	0.01773	0.01826	0.01896	0.01959	0.02015	0.02068	0.02148	0.02237	0.02303	0.02381	0.02432	0.02491	0.02596	0.02746	0.02944	0.03117	0.03266	0
138	Black_55	0	0	0	54.9	0	0	0.008296	0.007803	0.008142	0.007985	0.007707	0.00778	0.008234	0.008353	0.00881	0.009008	0.009276	0.009502	0.009841	0.01035	0.01076	0.01103	0.01144	0.01187	0.01234	0.01279	0.01336	0.01382	0.01426	0.01467	0.01524	0.01586	0.0165	0.01725	0.01783	0.01823	0.01864	0.01957	0.02078	0.02228	0.02393	0.02544	0
139	Black_60	0	0	0	60	0	0	0.00661	0.006325	0.006414	0.006564	0.006579	0.006386	0.00642	0.006592	0.00692	0.007063	0.007345	0.007274	0.007706	0.007972	0.008253	0.00853	0.008902	0.00922	0.00965	0.009924	0.01026	0.01063	0.01099	0.01138	0.01173	0.01226	0.01278	0.01329	0.0137	0.01405	0.01447	0.01508	0.01611	0.01721	0.01872	0.02006	0
140	Black_65	0	0	0	65.1	0	0	0.006102	0.005382	0.005564	0.005183	0.005007	0.005176	0.004965	0.004854	0.005277	0.005268	0.005461	0.005525	0.005693	0.005966	0.006125	0.006221	0.006533	0.006827	0.007039	0.007225	0.007568	0.007839	0.00804	0.008316	0.008674	0.009029	0.009425	0.009816	0.01018	0.01048	0.01075	0.0113	0.01204	0.01301	0.01429	0.01511	0
141	Black_70	0	0	0	70.2	0	0	-0.0008651	0.001942	0.003589	0.002634	0.003469	0.003705	0.00408	0.003964	0.004273	0.004224	0.004282	0.004416	0.004358	0.004652	0.004699	0.005001	0.005005	0.005191	0.005334	0.005479	0.005636	0.005706	0.005936	0.006049	0.006363	0.006624	0.006964	0.007154	0.007298	0.007553	0.007772	0.008029	0.008807	0.009475	0.01029	0.01102	0
142	Black_75	0	0	0	74.9	0	0	0.0008612	0.002448	0.003178	0.003166	0.003379	0.003393	0.003781	0.003344	0.003411	0.003579	0.00366	0.003596	0.003684	0.003856	0.003786	0.00402	0.004051	0.004199	0.004275	0.004441	0.004542	0.004551	0.004796	0.004918	0.005005	0.005246	0.005473	0.005516	0.005785	0.005979	0.006125	0.006238	0.00684	0.007394	0.00798	0.008732	0
143	Black_80	0	0	0	80	0	0	-0.0007664	0.001625	0.003118	0.002755	0.003197	0.00322	0.003342	0.003147	0.003313	0.003343	0.003315	0.00339	0.003381	0.003486	0.003456	0.003676	0.003734	0.00387	0.003908	0.004056	0.004104	0.00408	0.004249	0.004394	0.004455	0.004619	0.004856	0.004947	0.005081	0.005256	0.005414	0.005565	0.006066	0.006605	0.007155	0.007471	0
144	Black_83	0	0	0	83.14	0	0	-0.0008825	6.875e-05	0.00216	0.001718	0.002392	0.002667	0.003115	0.002968	0.003109	0.003119	0.002982	0.002991	0.002984	0.003147	0.003054	0.003232	0.003282	0.003435	0.003488	0.003519	0.003539	0.003508	0.003685	0.003747	0.003829	0.004015	0.004197	0.004292	0.00434	0.004497	0.004518	0.004675	0.005084	0.005589	0.006166	0.00624	0
145	Black_85	0	0	0	85.1	0	0	-0.001739	-1.708e-05	0.002136	0.001542	0.00205	0.002509	0.002951	0.002897	0.002989	0.002816	0.002937	0.002982	0.002853	0.003083	0.002998	0.003201	0.003189	0.003221	0.003285	0.0034	0.003373	0.003364	0.003497	0.003573	0.003728	0.003866	0.004005	0.003921	0.004098	0.004274	0.004181	0.004356	0.004768	0.005118	0.005557	0.006075	0
146	Black_86	0	0	0	85.88	0	0	0.001033	0.002249	0.003133	0.002415	0.003195	0.002563	0.002905	0.00307	0.003017	0.003015	0.002875	0.00295	0.002914	0.003034	0.00285	0.003083	0.003087	0.003177	0.003238	0.00325	0.003281	0.003271	0.003376	0.003458	0.003548	0.003626	0.00374	0.003743	0.0039	0.004035	0.004113	0.004261	0.004618	0.005037	0.005541	0.005846	0
147	Black_87	0	0	0	87.06	0	0	-0.001262	0.0008763	0.002153	0.002626	0.002761	0.002916	0.003251	0.002731	0.002922	0.002969	0.002949	0.002928	0.002728	0.002916	0.002889	0.002998	0.003014	0.00305	0.003098	0.003078	0.003059	0.003011	0.003091	0.003152	0.003247	0.003333	0.003487	0.003366	0.003547	0.003734	0.003762	0.00391	0.004266	0.0046	0.00489	0.005306	0
148	Black_88	0	0	0	87.84	0	0	0.0004365	0.001001	0.003112	0.001823	0.002712	0.002657	0.002854	0.00281	0.002996	0.002897	0.002794	0.002739	0.00265	0.002715	0.00258	0.002793	0.002776	0.002928	0.002944	0.002936	0.003032	0.00298	0.003011	0.003072	0.003178	0.003321	0.003429	0.003383	0.003503	0.003626	0.003641	0.003747	0.004088	0.004465	0.004837	0.004966	0
149	Black_89	0	0	0	89.02	0	0	-0.0009697	0.001748	0.002565	0.002356	0.002764	0.002823	0.003082	0.002849	0.002908	0.002906	0.0028	0.002709	0.002629	0.002765	0.002598	0.002805	0.002745	0.0028	0.002759	0.002837	0.002858	0.002876	0.002919	0.00298	0.002998	0.003084	0.003281	0.003293	0.003242	0.003471	0.003471	0.003569	0.003921	0.004224	0.00461	0.004739	0
150	Black_90	0	0	0	90.2	0	0	-0.0005975	0.001112	0.002859	0.002621	0.003136	0.002839	0.003017	0.002878	0.002883	0.00292	0.002884	0.002785	0.002724	0.002913	0.002708	0.002866	0.002821	0.002887	0.002862	0.002899	0.002913	0.002817	0.002878	0.002916	0.003012	0.003141	0.00328	0.003226	0.00332	0.003536	0.00351	0.003564	0.003908	0.004283	0.004541	0.004782	0
151	Black_91	0	0	0	90.98	0	0	0.0006943	0.002723	0.002888	0.002054	0.002907	0.00289	0.002972	0.002838	0.002912	0.002794	0.002709	0.00268	0.002562	0.002805	0.002616	0.002779	0.002773	0.00272	0.002781	0.002836	0.002793	0.002716	0.002829	0.002813	0.002823	0.002925	0.002943	0.002993	0.003085	0.003235	0.00335	0.00333	0.003769	0.00409	0.004404	0.004479	0
152	Black_92	0	0	0	92.16	0	0	-0.0003568	0.001612	0.002591	0.002447	0.00307	0.002828	0.003127	0.002811	0.002831	0.002811	0.002659	0.002705	0.002539	0.002668	0.002611	0.002763	0.002705	0.002727	0.002773	0.002768	0.00274	0.002697	0.002744	0.002675	0.002824	0.002873	0.003068	0.002944	0.003008	0.003092	0.003287	0.003234	0.003598	0.003839	0.004314	0.004803	0
153	Black_93	0	0	0	92.94	0	0	0.0005718	0.001668	0.002384	0.002179	0.002793	0.002883	0.002706	0.002711	0.002875	0.002822	0.00285	0.002777	0.002543	0.002627	0.002523	0.00265	0.002564	0.00259	0.002624	0.002595	0.002631	0.002517	0.002682	0.002682	0.002682	0.002734	0.002875	0.002787	0.002827	0.002962	0.003038	0.003124	0.003347	0.003504	0.003614	0.003917	0
154	Black_94	0	0	0	94.12	0	0	0.0006896	0.002825	0.003501	0.002386	0.003059	0.003009	0.003123	0.002773	0.00299	0.002868	0.002745	0.002717	0.002558	0.002725	0.002586	0.002802	0.002675	0.002696	0.002659	0.002704	0.002707	0.002574	0.002671	0.002726	0.002795	0.002898	0.002982	0.002851	0.002807	0.00296	0.003082	0.003147	0.003342	0.003675	0.003828	0.004092	0
155	Black_95	0	0	0	94.9	0	0	0.003523	0.003658	0.003856	0.002855	0.002695	0.00325	0.003129	0.003025	0.003101	0.00298	0.002755	0.00271	0.00254	0.002717	0.002598	0.002745	0.002596	0.002674	0.002725	0.002714	0.002622	0.002543	0.002659	0.002716	0.002736	0.002744	0.002803	0.00272	0.002795	0.00295	0.002943	0.003027	0.003312	0.00358	0.003599	0.003984	0
156	Black_96	0	0	0	96.08	0	0	0.00227	0.002993	0.002903	0.002378	0.00257	0.002923	0.002889	0.002825	0.002803	0.002715	0.002712	0.002664	0.002534	0.002633	0.002521	0.002608	0.002529	0.002555	0.002553	0.002485	0.002492	0.002457	0.002474	0.002517	0.002513	0.002562	0.00277	0.002657	0.002656	0.002827	0.002843	0.002751	0.002998	0.003133	0.00342	0.00344	0
157	Black_97	0	0	0	96.86	0	0	0.001668	0.003361	0.003631	0.00267	0.003173	0.002899	0.003249	0.003037	0.002926	0.00271	0.002619	0.002673	0.002523	0.002527	0.002465	0.002627	0.002438	0.002542	0.002524	0.002558	0.002494	0.0025	0.002502	0.002511	0.002563	0.002681	0.002767	0.002659	0.002768	0.002707	0.002938	0.002859	0.003102	0.003372	0.003643	0.003583	0
158	Black_98	0	0	0	98.04	0	0	0.00261	0.001996	0.002835	0.002376	0.002826	0.002893	0.002849	0.002672	0.002693	0.002872	0.00264	0.002613	0.002472	0.002572	0.002553	0.002596	0.002428	0.002475	0.002454	0.002504	0.002442	0.002339	0.00238	0.002431	0.002436	0.002324	0.00242	0.002382	0.002468	0.002636	0.002587	0.00252	0.002766	0.002964	0.003228	0.003262	0
159	Black_99	0	0	0	98.82	0	0	0.0008985	0.002599	0.003278	0.00303	0.003262	0.003047	0.003289	0.002947	0.003011	0.002981	0.002843	0.002711	0.002495	0.002674	0.00258	0.002695	0.002589	0.002549	0.002546	0.002536	0.002575	0.002438	0.002509	0.002485	0.002515	0.002546	0.002619	0.002513	0.002482	0.002682	0.002702	0.002703	0.002958	0.003036	0.003284	0.003481	0
160	Black_100	0	0	0	100	0	0	0.001234	0.002085	0.003178	0.002584	0.002905	0.002743	0.003014	0.002793	0.002928	0.002812	0.002626	0.002626	0.002518	0.002614	0.002448	0.002573	0.00246	0.002488	0.002463	0.002429	0.0024	0.002328	0.002392	0.002365	0.002384	0.002402	0.002502	0.002426	0.002368	0.002512	0.002566	0.002535	0.002805	0.002835	0.003069	0.003124	0
161	Orange_0	0	0	0	0	0	0	0.4488	0.5033	0.5703	0.7047	0.8344	0.8728	0.8827	0.8789	0.872	0.8687	0.8663	0.8649	0.8641	0.8637	0.8648	0.8639	0.8644	0.8652	0.8645	0.8686	0.8696	0.8724	0.8753	0.8793	0.8838	0.8882	0.8944	0.8997	0.9036	0.9061	0.9079	0.9093	0.9129	0.9154	0.9168	0.9191	0
162	Orange_1	0	0	0	0	1.18	0	0.4401	0.4908	0.5531	0.6779	0.7977	0.8302	0.8364	0.8303	0.8212	0.8161	0.8127	0.8109	0.8104	0.8111	0.8133	0.8152	0.8238	0.8385	0.8513	0.8626	0.8664	0.8698	0.8726	0.8768	0.8814	0.8858	0.8917	0.8969	0.9008	0.9033	0.9051	0.9065	0.9099	0.912	0.9138	0.9162	0
163	Orange_3	0	0	0	0	3.14	0	0.4114	0.4547	0.5076	0.6169	0.7196	0.744	0.7454	0.7365	0.7263	0.7199	0.7155	0.714	0.715	0.7184	0.724	0.732	0.7543	0.7929	0.828	0.8514	0.8597	0.8649	0.8682	0.8725	0.877	0.8816	0.8876	0.8928	0.8965	0.8992	0.9011	0.9022	0.9056	0.908	0.9093	0.9115	0
164	Orange_5	0	0	0	0	5.1	0	0.3895	0.428	0.4733	0.567	0.6519	0.668	0.665	0.6543	0.6428	0.6352	0.6304	0.6292	0.6316	0.637	0.6454	0.6579	0.6923	0.7515	0.807	0.8417	0.8543	0.8608	0.8646	0.8691	0.8733	0.8776	0.8837	0.889	0.8925	0.8949	0.8968	0.8979	0.9018	0.9038	0.9048	0.907	0
165	Orange_7	0	0	0	0	7.06	0	0.368	0.3994	0.439	0.5188	0.5887	0.5976	0.5915	0.5794	0.5669	0.5583	0.5534	0.5527	0.5563	0.5635	0.5739	0.5902	0.6342	0.7114	0.7855	0.831	0.848	0.8558	0.8601	0.8644	0.8686	0.8726	0.8783	0.8833	0.8869	0.8895	0.891	0.8921	0.8953	0.8974	0.8986	0.9005	0
166	Orange_9	0	0	0	0	9.02	0	0.3435	0.3716	0.405	0.4737	0.5338	0.539	0.5296	0.5158	0.5027	0.4937	0.4883	0.4878	0.4921	0.5003	0.5125	0.5316	0.5829	0.6743	0.7642	0.8191	0.8399	0.8489	0.854	0.8585	0.8628	0.8671	0.8729	0.8782	0.8817	0.8843	0.8861	0.8875	0.8906	0.8928	0.8937	0.896	0
167	Orange_11	0	0	0	0	10.98	0	0.3292	0.3524	0.3804	0.4392	0.4883	0.4893	0.4784	0.4644	0.4506	0.4408	0.4354	0.4351	0.4399	0.4492	0.4621	0.4831	0.5397	0.6421	0.7456	0.8099	0.8344	0.8448	0.8499	0.8543	0.8586	0.8629	0.8686	0.8738	0.877	0.8793	0.8808	0.882	0.8853	0.8877	0.8889	0.8909	0
168	Orange_13	0	0	0	0	12.94	0	0.3075	0.3297	0.3546	0.4062	0.449	0.448	0.436	0.4213	0.4077	0.3975	0.3923	0.3922	0.3974	0.4071	0.4205	0.4431	0.5037	0.6155	0.7318	0.8052	0.8338	0.8454	0.851	0.856	0.8603	0.8648	0.8706	0.8758	0.8795	0.882	0.8836	0.8848	0.8882	0.8906	0.8915	0.8941	0
169	Orange_15	0	0	0	0	14.9	0	0.2948	0.3134	0.3322	0.3784	0.4128	0.4075	0.3946	0.3797	0.366	0.3565	0.3512	0.3513	0.3568	0.3672	0.3813	0.4049	0.4691	0.5894	0.7172	0.7993	0.8318	0.845	0.851	0.8556	0.8598	0.8637	0.8694	0.8739	0.8773	0.8795	0.881	0.8819	0.8851	0.8872	0.8882	0.8906	0
170	Orange_17	0	0	0	0	16.86	0	0.2783	0.294	0.3093	0.3501	0.3814	0.375	0.3616	0.3463	0.3323	0.3225	0.3171	0.317	0.3225	0.3329	0.347	0.371	0.4369	0.5625	0.6993	0.7887	0.8245	0.8388	0.8452	0.8503	0.8553	0.8604	0.8663	0.8715	0.8756	0.8779	0.8803	0.8815	0.885	0.8877	0.8889	0.8914	0
171	Orange_20	0	0	0	0	20	0	0.2568	0.2678	0.2799	0.3125	0.3352	0.3265	0.3128	0.2973	0.2837	0.2743	0.2692	0.2695	0.2754	0.2858	0.3004	0.325	0.3933	0.5271	0.6781	0.7797	0.8216	0.838	0.8453	0.8508	0.8558	0.8608	0.8666	0.8716	0.8755	0.8779	0.8799	0.8811	0.8845	0.8871	0.8883	0.8913	0
172	Orange_25	0	0	0	0	25.1	0	0.2288	0.2351	0.241	0.2633	0.2777	0.2663	0.2518	0.2372	0.2246	0.2157	0.211	0.2113	0.2171	0.2275	0.2417	0.2662	0.3356	0.477	0.6454	0.7638	0.8145	0.8344	0.8425	0.8481	0.8526	0.8571	0.8628	0.8677	0.8715	0.8734	0.8753	0.8763	0.8797	0.8821	0.8831	0.8861	0
173	Orange_30	0	0	0	0	30.2	0	0.2073	0.2082	0.2105	0.2263	0.2336	0.2213	0.2068	0.1932	0.1813	0.173	0.1686	0.1692	0.1749	0.1848	0.1985	0.2226	0.2915	0.4369	0.6182	0.7511	0.81	0.8328	0.842	0.848	0.8528	0.8574	0.863	0.8678	0.8713	0.8735	0.8752	0.8761	0.8796	0.8819	0.8829	0.8862	0
174	Orange_35	0	0	0	0	34.9	0	0.1871	0.1874	0.1871	0.1993	0.2031	0.1903	0.1758	0.1626	0.1513	0.1435	0.1398	0.1403	0.1456	0.1551	0.168	0.1913	0.2589	0.4058	0.5955	0.7393	0.8047	0.83	0.8401	0.8466	0.8514	0.8564	0.8621	0.8669	0.8707	0.8727	0.8748	0.8759	0.8792	0.8816	0.8827	0.8859	0
175	Orange_40	0	0	0	0	40	0	0.1679	0.1662	0.1641	0.1729	0.1747	0.1617	0.1486	0.1364	0.1262	0.1191	0.1153	0.1159	0.1207	0.1296	0.1419	0.1638	0.2291	0.3758	0.5727	0.7272	0.7995	0.8278	0.8391	0.8459	0.8513	0.8565	0.8624	0.8676	0.8715	0.8739	0.876	0.8772	0.8808	0.8834	0.8844	0.8878	0
176	Orange_45	0	0	0	0	45.1	0	0.1569	0.1532	0.149	0.1544	0.1537	0.1408	0.1285	0.1173	0.1081	0.1016	0.09842	0.09884	0.1033	0.1113	0.1226	0.1433	0.2059	0.3506	0.5524	0.7165	0.7958	0.8269	0.839	0.846	0.8511	0.856	0.8618	0.8668	0.8706	0.8727	0.8746	0.8757	0.8792	0.8816	0.8827	0.886	0
177	Orange_50	0	0	0	0	50.2	0	0.1432	0.1394	0.1343	0.1356	0.1334	0.1209	0.1089	0.0989	0.09033	0.0845	0.08157	0.08196	0.08626	0.09373	0.1043	0.1238	0.1839	0.3273	0.5346	0.7088	0.7947	0.8289	0.8423	0.8495	0.8543	0.8588	0.8643	0.8693	0.8729	0.8748	0.8769	0.8777	0.8813	0.8834	0.8847	0.888	0
178	Orange_55	0	0	0	0	54.9	0	0.1351	0.1293	0.1223	0.1235	0.1197	0.1078	0.09664	0.08725	0.07939	0.07394	0.07132	0.0718	0.07549	0.08222	0.09205	0.1105	0.1678	0.308	0.5171	0.6974	0.7885	0.8247	0.8388	0.8462	0.8514	0.8563	0.8621	0.8672	0.8709	0.8731	0.8751	0.8762	0.8795	0.8819	0.8829	0.8862	0
179	Orange_60	0	0	0	0	60	0	0.124	0.1181	0.1106	0.1105	0.1057	0.09441	0.08393	0.07545	0.0685	0.06362	0.06146	0.06186	0.06535	0.0716	0.08039	0.09764	0.1524	0.2897	0.501	0.6888	0.7859	0.8248	0.8397	0.8476	0.8528	0.8577	0.8635	0.8685	0.8722	0.8742	0.8761	0.8771	0.8806	0.8829	0.8838	0.8869	0
180	Orange_65	0	0	0	0	65.1	0	0.1166	0.1096	0.1026	0.1009	0.09552	0.08422	0.07481	0.06696	0.06068	0.05619	0.05433	0.0548	0.05812	0.06387	0.07224	0.08862	0.1411	0.2756	0.4879	0.6806	0.7818	0.8228	0.8386	0.8464	0.8517	0.8564	0.862	0.8668	0.8704	0.8725	0.8743	0.8751	0.8783	0.8807	0.8819	0.8847	0
